id_transaccion,t_envio,d_origen,d_destino,terminal,t_recibido,retraso
2,145,1,3,3,335,190
3,165,2,1,1,535,370
4,245,3,0,0,735,490
8,765,3,225,-1,,
1,165,0,1,1,935,770
6,365,1,2,2,1135,770
7,565,2,3,3,1335,770
5,965,0,3,3,1735,770
10,1165,1,255,0,1935,770
10,1165,1,255,2,1935,770
10,1165,1,255,3,1935,770
11,1365,2,0,0,2135,770
12,1565,3,255,0,2335,770
12,1565,3,255,1,2335,770
12,1565,3,255,2,2335,770
9,1765,0,2,2,2535,770
14,1965,1,2,2,2735,770
15,2165,2,0,0,2935,770
16,2365,3,1,1,3135,770
13,2565,0,2,2,3335,770
17,3365,0,140,-1,,
18,2765,1,3,3,3535,770
19,2965,2,3,3,3735,770
20,3165,3,2,2,3935,770
22,3565,1,2,2,4335,770
23,3765,2,255,0,4535,770
23,3765,2,255,1,4535,770
23,3765,2,255,3,4535,770
24,3965,3,1,1,4735,770
28,4765,3,75,-1,,
21,4165,0,2,2,4935,770
26,4365,1,3,3,5135,770
27,4565,2,255,0,5335,770
27,4565,2,255,1,5335,770
27,4565,2,255,3,5335,770
32,5565,3,108,-1,,
25,4965,0,1,1,5735,770
30,5165,1,255,0,5935,770
30,5165,1,255,2,5935,770
30,5165,1,255,3,5935,770
31,5365,2,1,1,6135,770
29,5765,0,1,1,6535,770
34,5965,1,255,0,6735,770
34,5965,1,255,2,6735,770
34,5965,1,255,3,6735,770
35,6165,2,255,0,6935,770
35,6165,2,255,1,6935,770
35,6165,2,255,3,6935,770
36,6365,3,255,0,7135,770
36,6365,3,255,1,7135,770
36,6365,3,255,2,7135,770
33,6565,0,3,3,7335,770
38,6765,1,2,2,7535,770
39,6965,2,3,3,7735,770
40,7165,3,0,0,7935,770
37,7365,0,3,3,8135,770
42,7565,1,255,0,8335,770
42,7565,1,255,2,8335,770
42,7565,1,255,3,8335,770
43,7765,2,3,3,8535,770
44,7965,3,255,0,8735,770
44,7965,3,255,1,8735,770
44,7965,3,255,2,8735,770
41,8165,0,2,2,8935,770
46,8365,1,2,2,9135,770
47,8565,2,1,1,9335,770
48,8765,3,0,0,9535,770
45,8965,0,1,1,9735,770
50,9165,1,3,3,9935,770
51,9365,2,0,0,10135,770
52,9565,3,255,0,10335,770
52,9565,3,255,1,10335,770
52,9565,3,255,2,10335,770
49,9765,0,255,1,10535,770
49,9765,0,255,2,10535,770
49,9765,0,255,3,10535,770
54,9965,1,0,0,10735,770
55,10165,2,1,1,10935,770
56,10365,3,1,1,11135,770
53,10565,0,1,1,11335,770
58,10765,1,3,3,11535,770
59,10965,2,0,0,11735,770
60,11165,3,1,1,11935,770
57,11365,0,3,3,12135,770
62,11565,1,0,0,12335,770
63,11765,2,1,1,12535,770
64,11965,3,2,2,12735,770
61,12165,0,3,3,12935,770
66,12365,1,0,0,13135,770
67,12565,2,3,3,13335,770
68,12765,3,1,1,13535,770
65,12965,0,2,2,13735,770
70,13165,1,0,0,13935,770
71,13365,2,0,0,14135,770
72,13565,3,2,2,14335,770
69,13765,0,1,1,14535,770
74,13965,1,3,3,14735,770
75,14165,2,0,0,14935,770
76,14365,3,0,0,15135,770
73,14565,0,3,3,15335,770
78,14765,1,3,3,15535,770
